No saved genome found.
Generation 8/100
Genome 1: Fitness 92.84
Genome 2: Fitness 92.80
Genome 3: Fitness 90.96
Genome 4: Fitness 29.26
Genome 5: Fitness 37.64
Genome 6: Fitness 77.69
Genome 7: Fitness 32.59
Genome 8: Fitness 71.09
Genome 9: Fitness 39.80
Genome 10: Fitness 32.31
Genome 11: Fitness 28.79
Genome 12: Fitness 28.83
Genome 13: Fitness 81.19
Genome 14: Fitness 87.76
Genome 15: Fitness 81.68
Genome 16: Fitness 76.02
Genome 17: Fitness 32.84
Genome 18: Fitness 31.32
Genome 19: Fitness 55.21
Genome 20: Fitness 20.68
Genome 21: Fitness 9.59
Genome 22: Fitness 86.76
Genome 23: Fitness 50.32
Genome 24: Fitness 32.13
Genome 25: Fitness 52.27
Genome 26: Fitness 26.32
Genome 27: Fitness 68.26
Genome 28: Fitness 31.24
Genome 29: Fitness 25.19
Genome 30: Fitness 31.33
Genome 31: Fitness 38.27
Genome 32: Fitness 51.86
Genome 33: Fitness 30.97
Genome 34: Fitness 66.98
Genome 35: Fitness 31.36
Genome 36: Fitness 41.00
Genome 37: Fitness 42.15
Genome 38: Fitness 81.00
Genome 39: Fitness 88.71
Genome 40: Fitness 54.93
Genome 41: Fitness 91.21
Genome 42: Fitness 67.85
Genome 43: Fitness 87.92
Genome 44: Fitness 53.04
Genome 45: Fitness 45.38
Genome 46: Fitness 18.44
Genome 47: Fitness 43.32
Genome 48: Fitness 91.10
Genome 49: Fitness 57.56
Genome 50: Fitness 78.34
Best fitness: 92.84
Generation 9/100
Genome 1: Fitness 92.84
Genome 2: Fitness 92.80
Genome 3: Fitness 91.21
Genome 4: Fitness 55.39
Genome 5: Fitness 32.96
Genome 6: Fitness 51.83
Genome 7: Fitness 34.53
Genome 8: Fitness 67.31
Genome 9: Fitness 91.82
Genome 10: Fitness 50.62
Genome 11: Fitness 63.56
Genome 12: Fitness 57.68
Genome 13: Fitness 70.27
Genome 14: Fitness 62.44
Genome 15: Fitness 46.33
Genome 16: Fitness 75.26
Genome 17: Fitness 42.48
Genome 18: Fitness 67.02
Genome 19: Fitness 41.84
Genome 20: Fitness 9.51
Genome 21: Fitness 45.73
Genome 22: Fitness 48.96
Genome 23: Fitness 50.56
Genome 24: Fitness 33.38
Genome 25: Fitness 68.33
Genome 26: Fitness 84.10
Genome 27: Fitness 66.47
Genome 28: Fitness 86.33
Genome 29: Fitness 72.91
Genome 30: Fitness 69.17
Genome 31: Fitness 55.01
Genome 32: Fitness 74.70
Genome 33: Fitness 49.89
Genome 34: Fitness 83.73
Genome 35: Fitness 92.17
Genome 36: Fitness 40.30
Genome 37: Fitness 70.83
Genome 38: Fitness 50.90
Genome 39: Fitness 75.57
Genome 40: Fitness 72.99
Genome 41: Fitness 70.06
Genome 42: Fitness 46.39
Genome 43: Fitness 52.14
Genome 44: Fitness 82.45
Genome 45: Fitness 62.14
Genome 46: Fitness 75.69
Genome 47: Fitness 51.36
Genome 48: Fitness 88.76
Genome 49: Fitness 48.06
Genome 50: Fitness 83.73
Best fitness: 92.84
Generation 10/100
Genome 1: Fitness 92.84
Genome 2: Fitness 92.80
Genome 3: Fitness 92.17
Genome 4: Fitness 47.96
Genome 5: Fitness 24.17
Genome 6: Fitness 33.07
Genome 7: Fitness 68.88
Genome 8: Fitness 42.73
Genome 9: Fitness 33.05
Genome 10: Fitness 68.15
Genome 11: Fitness 72.74
Genome 12: Fitness 62.44
Genome 13: Fitness 50.67
Genome 14: Fitness 32.34
Genome 15: Fitness 85.05
Genome 16: Fitness 82.94
Genome 17: Fitness 70.86
Genome 18: Fitness 75.93
Genome 19: Fitness 22.91
Genome 20: Fitness 13.24
Genome 21: Fitness 30.34
Genome 22: Fitness 89.61
Genome 23: Fitness 65.30
Genome 24: Fitness 30.90
Genome 25: Fitness 83.15
Genome 26: Fitness 10.74
Genome 27: Fitness 41.20
Genome 28: Fitness 51.30
Genome 29: Fitness 90.99
Genome 30: Fitness 49.38
Genome 31: Fitness 71.55
Genome 32: Fitness 33.60
Genome 33: Fitness 33.42
Genome 34: Fitness 75.70
Genome 35: Fitness 72.10
Genome 36: Fitness 61.78
Genome 37: Fitness 84.70
Genome 38: Fitness 50.44
Genome 39: Fitness 86.26
Genome 40: Fitness 72.00
Genome 41: Fitness 47.45
Genome 42: Fitness 43.75
Genome 43: Fitness 17.60
Genome 44: Fitness 42.54
Genome 45: Fitness 46.87
Genome 46: Fitness 31.59
Genome 47: Fitness 44.25
Genome 48: Fitness 58.57
Genome 49: Fitness 36.31
Genome 50: Fitness 87.54
Best fitness: 92.84
Generation 11/100
Genome 1: Fitness 92.84
Genome 2: Fitness 92.80
Genome 3: Fitness 92.17
Genome 4: Fitness 33.65
Genome 5: Fitness 11.77
Genome 6: Fitness 69.87
Genome 7: Fitness 83.12
Genome 8: Fitness 61.39
Genome 9: Fitness 88.57
Genome 10: Fitness 51.55
Genome 11: Fitness 52.24
Genome 12: Fitness 61.20
Genome 13: Fitness 17.20
Genome 14: Fitness 35.63
Genome 15: Fitness 38.56
Genome 16: Fitness 53.94
Genome 17: Fitness 31.75
Genome 18: Fitness 33.96
Genome 19: Fitness 62.49
Genome 20: Fitness 64.80
Genome 21: Fitness 48.58
Genome 22: Fitness 63.36
Genome 23: Fitness 79.88
Genome 24: Fitness 56.39
Genome 25: Fitness 32.24
Genome 26: Fitness 73.80
Genome 27: Fitness 81.98
Genome 28: Fitness 84.87
Genome 29: Fitness 67.62
Genome 30: Fitness 23.17
Genome 31: Fitness 87.35
Genome 32: Fitness 63.60
Genome 33: Fitness 70.30
Genome 34: Fitness 50.55
Genome 35: Fitness 80.40
Genome 36: Fitness 41.54
Genome 37: Fitness 6.99
Genome 38: Fitness 85.98
Genome 39: Fitness 55.47
